Period,Ngày,Ngày tháng,Prod code,Sale code,Item code,TYPE,STOCK IN,Level subcon,Transaction type,QTY,Remark
2026-04,4,2026-04-01 00:00:00,EAD66010222-I,EAD66010222-I,,FULL SUB,CKTN,2,SUB OUT,8000,
2026-04,4,2026-04-01 00:00:00,EAD65616818-I,EAD65616818-I,,FULL SUB,CKTN,2,SUB OUT,22000,
2026-04,4,2026-04-01 00:00:00,EAD63911420-I,EAD63911420-I,,FULL SUB,CKMT,2,SUB OUT,2500,
2026-04,4,2026-04-01 00:00:00,EAD63911352-I1,EAD63911352-I,,FULL SUB,CKAL,2,SUB OUT,500,
2026-04,4,2026-04-01 00:00:00,EAD63845502-T,EAD63845502-T,,FULL SUB,CKAL,2,SUB OUT,12000,
2026-04,4,2026-04-01 00:00:00,EAD62468244-T,EAD62468244-T,,FULL SUB,CKAL,2,SUB OUT,57000,
2026-04,4,2026-04-01 00:00:00,EAD64587804-I,EAD64587804-I,,FULL SUB,CKAL,2,SUB OUT,67700,
2026-04,4,2026-04-01 00:00:00,EAD65616822-I,EAD65616822-I,,FULL SUB,CKVB,2,SUB OUT,9000,
2026-04,4,2026-04-01 00:00:00,EAD63913527-I,EAD63913527-I,,FULL SUB,CKVB,2,SUB OUT,11000,
2026-04,4,2026-04-01 00:00:00,EAD64109903-T,EAD64109903-T,,FULL SUB,CKAL,2,SUB OUT,21000,
2026-04,4,2026-04-01 00:00:00,6850EC3006V-T,6850EC3006V-T,,FULL SUB,CKAL,2,SUB OUT,17000,
2026-04,4,2026-04-01 00:00:00,EAD64149412-T,EAD64149412-T,,FULL SUB,CKAL,2,SUB OUT,2000,
2026-04,4,2026-04-01 00:00:00,EAD62428629-T,EAD62428629-T,,FULL SUB,CKAL,2,SUB OUT,9000,
2026-04,4,2026-04-01 00:00:00,EAD66065901-I,EAD66065901-I,,FULL SUB,CKAL,2,SUB OUT,5000,
2026-04,4,2026-04-01 00:00:00,EAD66091501-I,EAD66091501-I,,FULL SUB,CKVB,2,SUB OUT,3000,
2026-04,4,2026-04-01 00:00:00,EAD64745815-I,EAD64745815-I,,FULL SUB,CKVB,2,SUB OUT,4500,
2026-04,4,2026-04-01 00:00:00,EAD62090005-T,EAD62090005-T,,FULL SUB,CKAL,2,SUB OUT,4000,
2026-04,4,2026-04-01 00:00:00,EAD65606208-I,EAD65606208-I,,FULL SUB,CKAL,2,SUB OUT,2000,
2026-04,4,2026-04-01 00:00:00,EAD63911358-I,EAD63911358-I,,FULL SUB,CKMT,2,SUB OUT,2000,
2026-04,4,2026-04-01 00:00:00,EAD63911348-I,EAD63911348-I,,FULL SUB,CKMT,2,SUB OUT,2000,
2026-04,4,2026-04-01 00:00:00,6850EC3006X-T,6850EC3006X-T,,FULL SUB,CKAL,2,SUB OUT,1000,
2026-04,4,2026-04-01 00:00:00,EAD66006019-I,EAD66006019-I,,FULL SUB,CKTN,2,SUB OUT,6000,
2026-04,4,2026-04-01 00:00:00,EAD64169023-I,EAD64169023-I,,FULL SUB,CKTN,2,SUB OUT,2500,
2026-04,4,2026-04-01 00:00:00,EAD64545392-I,EAD64545392-I,,FULL SUB,CKTN,2,SUB OUT,2500,
2026-04,4,2026-04-01 00:00:00,EAD65895024-I,EAD65895024-I,,FULL SUB,CKAL,2,SUB OUT,4000,
2026-04,4,2026-04-01 00:00:00,EAD63647078-I,EAD63647078-I,,FULL SUB,CKAL,2,SUB OUT,280,
2026-04,4,2026-04-01 00:00:00,EAD63707539-T,EAD63707539-T,,FULL SUB,CKAL,2,SUB OUT,280,
2026-04,4,2026-04-01 00:00:00,EAD63707525-I,EAD63707525-I,,FULL SUB,CKAL,2,SUB OUT,280,
2026-04,4,2026-04-01 00:00:00,EAD63707540-T,EAD63707540-T,,FULL SUB,CKAL,2,SUB OUT,560,
2026-04,4,2026-04-01 00:00:00,EAD66091503-I,EAD66091503-I,,FULL SUB,CKVB,2,SUB OUT,1000,
2026-04,4,2026-04-01 00:00:00,7200007556-I1,7200007556-I,,FULL SUB,CKMT,2,SUB OUT,289,
2026-04,4,2026-04-01 00:00:00,7200007689-I,7200007689-I,,FULL SUB,CKTN,2,SUB OUT,1,
2026-04,4,2026-04-01 00:00:00,EAD63911418-I,EAD63911418-I,,FULL SUB,CKMT,2,SUB OUT,1500,
2026-04,4,2026-04-01 00:00:00,EAD63954790-I,EAD63954790-I,,FULL SUB,CKTN,2,SUB OUT,1300,
2026-04,4,2026-04-01 00:00:00,EAD62061319-T,EAD62061319-T,,FULL SUB,CKAL,2,SUB OUT,3000,
2026-04,4,2026-04-01 00:00:00,EAD61212398-T1,EAD61212398-T,,FULL SUB,CKAL,2,SUB OUT,3000,
2026-04,4,2026-04-01 00:00:00,EAD64545339-A-I,EAD64545339-A-I,,FULL SUB,CKAL,2,SUB OUT,100,
2026-04,4,2026-04-01 00:00:00,EAD64169033-I,EAD64169033-I,,FULL SUB,CKAL,2,SUB OUT,100,
2026-04,4,2026-04-01 00:00:00,EAD61212389-T,EAD61212389-T,,FULL SUB,CKAL,2,SUB OUT,100,
2026-04,4,2026-04-01 00:00:00,EAD63954791-I,EAD63954791-I,,FULL SUB,CKTN,2,SUB OUT,2000,
2026-04,4,2026-04-01 00:00:00,EAD65606209-I,EAD65606209-I,,FULL SUB,CKMT,2,SUB OUT,500,
2026-04,4,2026-04-01 00:00:00,EAD63911344-I,EAD63911344-I,,FULL SUB,CKMT,2,SUB OUT,1000,
2026-04,4,2026-04-01 00:00:00,EAD61749501-T1,EAD61749501-T,,FULL SUB,CKAL,2,SUB OUT,1300,
2026-04,4,2026-04-01 00:00:00,EAD61749501-T,EAD61749501-T,,FULL SUB,CKAL,2,SUB OUT,4,
2026-04,30,2026-04-30 00:00:00,,0,CATX00072NA,MAT,CKVB,2,SUB OUT,1000,EAD65616822-I
2026-04,30,2026-04-30 00:00:00,,0,HOUX00082NA,MAT,CKVB,2,SUB OUT,1000,EAD65616822-I
2026-04,30,2026-04-30 00:00:00,,0,HOUX00133NA,MAT,CKVB,2,SUB OUT,1000,EAD65616822-I
2026-04,30,2026-04-30 00:00:00,,0,HOUX00234NA,MAT,CKVB,2,SUB OUT,1000,EAD65616822-I
2026-04,30,2026-04-30 00:00:00,,0,HOUX00443NA,MAT,CKVB,2,SUB OUT,1000,EAD65616822-I
2026-04,30,2026-04-30 00:00:00,,0,HOUX00445NA,MAT,CKVB,2,SUB OUT,1000,EAD65616822-I
2026-04,30,2026-04-30 00:00:00,,0,HOUX00665NA,MAT,CKVB,2,SUB OUT,4000,EAD65616822-I
2026-04,30,2026-04-30 00:00:00,,0,HOUX00666NA,MAT,CKVB,2,SUB OUT,2000,EAD65616822-I
2026-04,30,2026-04-30 00:00:00,,0,HOUX00667NA,MAT,CKVB,2,SUB OUT,4000,EAD65616822-I
2026-04,30,2026-04-30 00:00:00,,0,HOUX00978NA,MAT,CKVB,2,SUB OUT,1000,EAD65616822-I
2026-04,30,2026-04-30 00:00:00,,0,HOUX01538NA,MAT,CKVB,2,SUB OUT,1000,EAD65616822-I
2026-04,30,2026-04-30 00:00:00,,0,HOUX01548NA,MAT,CKVB,2,SUB OUT,1000,EAD65616822-I
2026-04,30,2026-04-30 00:00:00,,0,HOUX01553NA,MAT,CKVB,2,SUB OUT,1000,EAD65616822-I
2026-04,30,2026-04-30 00:00:00,,0,HOUX01562NA,MAT,CKVB,2,SUB OUT,1000,EAD65616822-I
2026-04,30,2026-04-30 00:00:00,,0,HOUX01563NA,MAT,CKVB,2,SUB OUT,1000,EAD65616822-I
2026-04,30,2026-04-30 00:00:00,,0,HOUX02121NA,MAT,CKVB,2,SUB OUT,1000,EAD65616822-I
2026-04,30,2026-04-30 00:00:00,,0,TPAX00047NA,MAT,CKVB,2,SUB OUT,3000,EAD65616822-I
2026-04,30,2026-04-30 00:00:00,,0,TPAX00284NA,MAT,CKVB,2,SUB OUT,1000,EAD65616822-I
2026-04,30,2026-04-30 00:00:00,,0,TPAX00288NA,MAT,CKVB,2,SUB OUT,1000,EAD65616822-I
2026-04,30,2026-04-30 00:00:00,,0,TPAX00291NA,MAT,CKVB,2,SUB OUT,1000,EAD65616822-I
2026-04,30,2026-04-30 00:00:00,,0,EAD62090005-C,WIP,CKAL,2,SUB OUT,2000,EAD62090005-T
2026-04,30,2026-04-30 00:00:00,,0,EAD64765409-C,WIP,CKAL,2,SUB OUT,1000,EAD64765409-T
2026-04,30,2026-04-30 00:00:00,,0,EAD61212398-C,WIP,CKAL,2,SUB OUT,1000,EAD61212398-T
2026-04,30,2026-04-30 00:00:00,,0,EAD63911352-C,WIP,CKAL,2,SUB OUT,500,EAD63911352-I
2026-04,30,2026-04-30 00:00:00,,0,EAD63911352-C-TUBA-089,WIP,CKAL,2,SUB OUT,500,EAD63911352-I
2026-04,30,2026-04-30 00:00:00,,0,HOUX01156NA,MAT,CKAL,2,SUB OUT,3000,6850EC3006V-T
2026-04,30,2026-04-30 00:00:00,,0,TAPA00013NA,MAT,CKAL,2,SUB OUT,1230,6850EC3006V-T
2026-04,30,2026-04-30 00:00:00,,0,TPAX00201NA,MAT,CKAL,2,SUB OUT,6000,6850EC3006V-T
2026-04,30,2026-04-30 00:00:00,,0,HOUX00202NA,MAT,CKAL,2,SUB OUT,4000,EAD62428629-T
2026-04,30,2026-04-30 00:00:00,,0,HOUX02758NA,MAT,CKAL,2,SUB OUT,4000,EAD62428629-T
2026-04,30,2026-04-30 00:00:00,,0,HOUX02759NA,MAT,CKAL,2,SUB OUT,4000,EAD62428629-T
2026-04,30,2026-04-30 00:00:00,,0,SLVB00006NA,MAT,CKAL,2,SUB OUT,8000,EAD62428629-T
2026-04,30,2026-04-30 00:00:00,,0,TAPA00081NA,MAT,CKAL,2,SUB OUT,1240,EAD62428629-T
2026-04,30,2026-04-30 00:00:00,,0,TPAX00572NA,MAT,CKAL,2,SUB OUT,4000,EAD62428629-T
2026-04,30,2026-04-30 00:00:00,,0,TPAX00573NA,MAT,CKAL,2,SUB OUT,4000,EAD62428629-T
2026-04,30,2026-04-30 00:00:00,,0,HOUX00065NA,MAT,CKAL,2,SUB OUT,3000,EAD64109903-T
2026-04,30,2026-04-30 00:00:00,,0,HOUX00663NA,MAT,CKAL,2,SUB OUT,3000,EAD64109903-T
2026-04,30,2026-04-30 00:00:00,,0,TAPA00013NA,MAT,CKAL,2,SUB OUT,180,EAD64109903-T
2026-04,30,2026-04-30 00:00:00,,0,TPAX00004NA,MAT,CKAL,2,SUB OUT,3000,EAD64109903-T
2026-04,30,2026-04-30 00:00:00,,0,TPAX00101NA,MAT,CKAL,2,SUB OUT,3000,EAD64109903-T
2026-04,30,2026-04-30 00:00:00,,0,CATX00053NA,MAT,CKAL,2,SUB OUT,3000,EAD64149412-T
2026-04,30,2026-04-30 00:00:00,,0,CORX00035NA,MAT,CKAL,2,SUB OUT,1000,EAD64149412-T
2026-04,30,2026-04-30 00:00:00,,0,FOMA00360NA,MAT,CKAL,2,SUB OUT,1000,EAD64149412-T
2026-04,30,2026-04-30 00:00:00,,0,HOUX00458NA,MAT,CKAL,2,SUB OUT,1000,EAD64149412-T
2026-04,30,2026-04-30 00:00:00,,0,HOUX00494NA,MAT,CKAL,2,SUB OUT,1000,EAD64149412-T
2026-04,30,2026-04-30 00:00:00,,0,HOUX00827NA,MAT,CKAL,2,SUB OUT,1000,EAD64149412-T
2026-04,30,2026-04-30 00:00:00,,0,HOUX00890NA,MAT,CKAL,2,SUB OUT,1000,EAD64149412-T
2026-04,30,2026-04-30 00:00:00,,0,TAPA00013NA,MAT,CKAL,2,SUB OUT,1120,EAD64149412-T
2026-04,30,2026-04-30 00:00:00,,0,TAPB00003NA,MAT,CKAL,2,SUB OUT,700,EAD64149412-T
2026-04,30,2026-04-30 00:00:00,,0,TPAX00051NA,MAT,CKAL,2,SUB OUT,2000,EAD64149412-T
2026-04,30,2026-04-30 00:00:00,,0,TPAX00183NA,MAT,CKAL,2,SUB OUT,1000,EAD64149412-T
2026-04,30,2026-04-30 00:00:00,,0,HOUX02060NA,MAT,CKAL,2,SUB OUT,300,EAD64587804-I
2026-04,30,2026-04-30 00:00:00,,0,TPAX00219NA,MAT,CKAL,2,SUB OUT,300,EAD64587804-I
2026-04,30,2026-04-30 00:00:00,,0,EAD65616818-C,WIP,CKTN,2,SUB OUT,500,EAD65616818-I
2026-04,30,2026-04-30 00:00:00,,0,EAD66010222-C,WIP,CKTN,2,SUB OUT,2000,EAD66010222-I
